title,short_title,link,saleprice,oldprice,reviews,percentoff
Samsung 850 EVO 1TB 2.5-Inch SATA III Internal SSD (MZ-75E1T0B/AM),Samsung 850 EVO 1TB 2.5-I,/Samsung-2-5-Inch-Internal-MZ-75E1T0B-AM/dp/B00OBRFFAS/ref=sr_1_94?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139890&sprefix=ssd+1tb%2Caps%2C247&sr=8-94,230.0,499.99,0.0,53.999079981599635
SABRENT 2.5 Inch to 3.5 Inch Internal Hard Disk Drive Mounting Bracket Kit (BK-HDDF),SABRENT 2.5 Inch to 3.5 I,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg13_1?ie=UTF8&adId=A02186511JIY6QM8FG0JJ&url=%2FSabrent-Internal-Mounting-Bracket-BK-HDDF%2Fdp%2FB00G56ZNZU%2Fref%3Dsr_1_193_sspa%3Fcrid%3D1242MEW9WYNP%26keywords%3Dssd%2B1tb%26qid%3D1657139924%26sprefix%3Dssd%2B1tb%252Caps%252C247%26sr%3D8-193-spons%26psc%3D1%26smid%3DA29Y8OP2GPR7PE&qualifier=1657139924&id=4002577006984238&widgetName=sp_atf_next,6.99,14.99,0.0,53.36891260840561
"Western Digital 240GB WD Green Internal PC SSD Solid State Drive - SATA III 6 Gb/s, 2.5""/7mm, Up to 550 MB/s - WDS240G2G0A",Western Digital 240GB WD ,/Western-Digital-240GB-2-5-Inch-Internal/dp/B076Y374ZH/ref=sr_1_190?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139919&sprefix=ssd+1tb%2Caps%2C247&sr=8-190,41.63,87.5,827.0,52.42285714285714
"SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s - USB-C, USB 3.2 Gen 2 - External Solid State Drive - SDSSDE61-1T00-G25",SanDisk 1TB Extreme Porta,/SanDisk-1TB-Extreme-Portable-SDSSDE61-1T00-G25/dp/B08GTYFC37/ref=sr_1_14?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139862&sprefix=ssd+1tb%2Caps%2C247&sr=8-14,129.99,249.99,0.0,48.001920076803074
Sabrent 1TB Rocket Q4 NVMe PCIe 4.0 M.2 2280 Internal SSD Maximum Performance Solid State Drive R/W 4700/1800 MB/s (SB-RKTQ4-1TB),Sabrent 1TB Rocket Q4 NVM,/Sabrent-Internal-Maximum-Performance-SB-RKTQ4-1TB/dp/B08F76V39T/ref=sr_1_101?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139895&sprefix=ssd+1tb%2Caps%2C247&sr=8-101,109.99,199.99,0.0,45.00225011250563
"Western Digital 1TB WD Blue 3D NAND Internal PC SSD - SATA III 6 Gb/s, M.2 2280, Up to 560 MB/s - WDS100T2B0B",Western Digital 1TB WD Bl,/Blue-NAND-1TB-SSD-WDS100T2B0B/dp/B073SB2MXT/ref=sr_1_35?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139876&sprefix=ssd+1tb%2Caps%2C247&sr=8-35,89.99,159.99,0.0,43.75273454590912
Sabrent Rocket Nano 1TB USB 3.2 10Gb/s External Aluminum SSD (Silver) (SB-1TB-NANO),Sabrent Rocket Nano 1TB U,/Sabrent-Rocket-External-Aluminum-SB-1TB-NANO/dp/B07ZWPH7G3/ref=sr_1_89?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139890&sprefix=ssd+1tb%2Caps%2C247&sr=8-89,119.99,209.99,0.0,42.859183770655754
Sabrent Rocket Nano 1TB USB 3.2 10Gb/s External Aluminum SSD (Silver) (SB-1TB-NANO),Sabrent Rocket Nano 1TB U,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg8_1?ie=UTF8&adId=A0655156DPM5K2TYA0PV&url=%2FSabrent-Rocket-External-Aluminum-SB-1TB-NANO%2Fdp%2FB07ZWPH7G3%2Fref%3Dsr_1_124_sspa%3Fcrid%3D1242MEW9WYNP%26keywords%3Dssd%2B1tb%26qid%3D1657139899%26sprefix%3Dssd%2B1tb%252Caps%252C247%26sr%3D8-124-spons%26psc%3D1%26smid%3DA2ELBRY1PH9SPX&qualifier=1657139899&id=3529974961035728&widgetName=sp_mtf,119.99,209.99,0.0,42.859183770655754
PNY XLR8 CS3040 1TB M.2 NVMe Gen4 x4 Internal Solid State Drive (SSD) - M280CS3040-1TB-RB,PNY XLR8 CS3040 1TB M.2 N,/PNY-CS3040-Internal-Solid-State/dp/B08KGXVXGM/ref=sr_1_95?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139890&sprefix=ssd+1tb%2Caps%2C247&sr=8-95,104.99,179.99,496.0,41.66898161008945
PNY XLR8 CS3040 1TB M.2 NVMe Gen4 x4 Internal Solid State Drive (SSD) - M280CS3040-1TB-RB,PNY XLR8 CS3040 1TB M.2 N,/PNY-CS3040-Internal-Solid-State/dp/B08KGXVXGM/ref=sr_1_95?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139890&sprefix=ssd+1tb%2Caps%2C247&sr=8-95,104.99,179.99,496.0,41.66898161008945
