,product,title,rating,body
0,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Love this case!,5.0,"I really like this case...better than I thought I would. I ordered the clear glitter and my husband got the plain clear.  He said he wishes he got the glitter because it makes the back of the phone look really cool.  Each case came with 2 screen protectors and 2 sets of camera protectors (which are also glitter and very glam). My husband said that the screen protectors are blue light blockers too, I didn't even realize that when I bought them.  I have always been hesitant to purchase a plastic case, but this case is different.  It feels rubbery around the edges. We have Iphone 13 pro max and the cases fit perfectly! For those of you who think it doesn't fit, you got to put a little effort into it, it is supposed to be snug.  I highly recommend these cases!!"
1,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",…,5.0,"I was truly happy with my purchase. The case is great, you get a 2 screen protectors and you get a 2 small protectors for your camera. The case fits perfectly and the screen protector has worked great. My only complaint is that I’ve had this for about 2 weeks and the case for my camera has broken. I haven’t dropped my phone. It hasn’t been hit on anything and I was surprised to see that my camera case was broken. So now I’m using the second camera case and currently searching for a new case."
2,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Perfect fit,5.0,"This fit my iPhone 13pro max perfectly. The screen protector fit the screen entirely but leaves just the right amount of space for the case to go on and fit snugly on the phone with out interfering with the screen and vise versa. The camera lens protector is a think protector that fits the shape of the camera lens group and does not interfere with the cameras, even when zoomed all the way out for ultra wide angle. A previous phone and previous case gave me that problem. The lens protector, although thick, does not stick out past the case, everything fits very well together.No info on longevity or durability yet, but I have confidence this will work well for me."
3,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",It’s worth your money!! Glitter Case - 2 screen protector- Camera Lens ! Definitely a steal!!,5.0,The media could not be loaded.
4,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear","Nice combo, screen/camera protectors and the phone case!",5.0,"I like that the screen protector fits nicely inside the case, it covers the entire lit part of the screen, and also covers the notch right up to the ear piece speaker. Very cool! My daughter managed to crack the screen protector within two weeks of installation and the camera protector shortly thereafter, better the protectors than the actual iPhone hardware!"
5,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Worth the money,5.0,"It’s pretty sturdy. I’ve already dropped my phone twice and not scratch or dent on my phone. Lol. It stays pretty snug on the phone so it’s a bit hard to take off if ever needed, but that’s one of the features I love about it. It’s not flimsy. The camera protector that also comes with it is amazing too. It doesn’t obstruct it in any way and the pictures come out as clear as ever. The screen protector is really easy to put on. IMO, it’s worth the money."
6,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Worthy of iPhone,5.0,"Apple should have such a nice case. But then again, it would cost at least 5 times as much from Apple! Only feedback is that it is sometimes difficult to get the camera protector piece to adhere completely clear. The adhesive sometimes shows. Not a major issue though, unless it’s really bad. But they do include two of those in case one doesn’t adhere to your liking."
7,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear","As a Zookeeper, this case keeps my phone safe and clean!",5.0,"I work a very dirty job and am constantly using my phone all day. It hasn't turned colors, it's durable and really holds the phone in tight. The screen protector is alright, it chipped very easily on the side, but no spider cracks or big issues. It has bumpers on the inside too for the phone corners"
8,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",It works,5.0,"Purchased the clear one and I love it. The case works great, screen protector easy to apply, comes with cleaning kit so no dust gets inside the screen protector, feels good, lens protector doesnt affect camera quality, and buttons work great"
9,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Not as thin,5.0,"I was looking for a very thin case for my iPhone 13 pro max, unfortunately this one is standard size. Very durable but not what I was looking for. I do recommend it, if a clear case is what your after."
