title,category,location,telephone,website,mail
1872 STADIUM HÔTEL,Hôtel de tourisme,Boulevard de Leningrad -76600LE HAVRE,02 35 13 14 15,https://www.1872stadiumhotel.com/fr/,contact@1872stadiumhotel.com
25HOURS HÔTEL TERMINUS NORD,Hôtel de tourisme,12 boulevard de Denain -75010Paris 10e Arrondissement,01 42 80 20 00,https://www.25hours-hotels.com/fr,res.terminusnord@25hours-hotels.com
3B HÔTEL DE BORDEAUX,Hôtel de tourisme,66 avenue de la Libération -33440Ambarès-et-Lagrave,05 57 30 63 63,https://www.hotel-restaurant-gironde.fr/,hotel3b@gmail.com
5 TERRES HÔTEL & SPA MGALLERY BY SOFITEL,Hôtel de tourisme,11 Place de l'Hôtel de ville -67140BARR,03 88 08 28 44,https://5terres-hotel.fr/fr/,ha7f3-gm@accor.com
7HÔTEL&SPA,Hôtel de tourisme,550 Boulevard Sébastien Brandt -67400ILLKIRCH-GRAFFENSTADEN,03 88 40 84 84,https://7hotel.fr/,contact@7hotel.fr
9 HÔTEL BASTILLE LYON,Hôtel de tourisme,23 rue de lyon -75012PARIS,01 86 90 48 80,https://www.9-hotel-bastille-lyon.fr,info@9hotelbastillelyon.com
9 HÔTEL MONTPARNASSE,Hôtel de tourisme,76 rue Raymond Losserand -75014Paris 14e Arrondissement,01 40 52 12 40,https://www.9-hotel-montparnasse-paris.fr/fr/,contact@le9hotel-montparnasse.com
9HÔTEL OPÉRA,Hôtel de tourisme,14 rue Papillon -75009Paris 9e Arrondissement,01 47 70 78 34,https://www.9-hotel-opera-paris.fr/,info@le9hotel-opera.com
9HÔTEL RÉPUBLIQUE,Hôtel de tourisme,7/9 Rue Pierre Chausson -75010Paris 10e Arrondissement,01 40 58 11 00,https://www.9-hotel-republique-paris.fr/,info@le9hotel-republique.com
ABBAYE DE SAINTE CROIX,Hôtel de tourisme,route du Val de Cuech -13300SALON-DE-PROVENCE,04 90 56 24 55,http://www.abbaye-de-saintecroix.fr/,resa-abbaye@garrigae-resorts.fr
ABBYS HÔTEL,Hôtel de tourisme,Lieu-dit Vialard -24200CARSAC-AILLAC,05 53 30 85 50,http://abbys-hotel.com/,contact@abbys-hotel.com
AC HÔTEL AMBASSADEUR ANTIBES JUAN-LES-PINS,Hôtel de tourisme,50 Chemin des sables -06160JUAN LES PINS,04 92 93 74 10,https://www.marriott.fr/hotels/travel/jlpar-ac-hotel-ambassadeur-antibes-juan-les-pins/,michael.koettig@marriott.com
AC HÔTEL PARIS LE BOURGET AIRPORT,Hôtel de tourisme,2 rue de la Haye -93440DUGNY,01 82 88 60 00,https://www.marriott.fr/hotels/travel/paral-ac-hotel-paris-le-bourget-airport/,France.Reservations@marriotthotels.com
AC HÔTEL PARIS PORTE MAILLOT,Hôtel de tourisme,6 rue Gustave Charpentier -75017PARIS,01 84 82 49 09,https://www.marriott.fr/hotels/travel/parar-ac-hotel-paris-porte-maillot/,france.reservations@marriott.com
ACCOSTAGE HÔTEL,Hôtel de tourisme,6 avenue Coligny -17000La Rochelle,05 46 66 21 31,https://www.accostage-hotel.fr/,contact@accostage-hotel.fr
ACE HÔTEL ANGERS,Hôtel de tourisme,Rue de Paon -49124Saint-Barthélemy-d'Anjou,02 41 35 20 70,https://www.ace-hotel-angers.com/fr/,angers@ace-hotel.com
ACE HÔTEL ANNECY,Hôtel de tourisme,8 BOULEVARD DU SEMNOZ -74600SEYNOD,04 50 88 25 28,www.ace-hotel-annecy.com,annecy@ace-hotel.com
ACE HÔTEL ANNEMASSE GENEVE,Hôtel de tourisme,RUE DES BICHES -74100VILLE-LA-GRAND,04 50 84 57 97,https://www.ace-hotel.com/fr/ace-hotel-annemasse-geneve,annemasse@ace-hotel.com
ACE HÔTEL BEAURAINS,Hôtel de tourisme,11 avenue des coquelicots -62217BEAURAINS,03 21 60 50 00,https://www.ace-hotel-arras.com,arras@ace-hotel.com
ACE HÔTEL BORDEAUX CESTAS,Hôtel de tourisme,A63AIRE DE BORDEAUX CESTAS -33610CESTAS,05 57 97 87 00,https://www.ace-hotel.com/fr/ace-hotel-bordeaux-cestas,cestas@ace-hotel.com
ACE HÔTEL BOURGES,Hôtel de tourisme,ZAC de l'échangeur -18000BOURGES,02 48 50 30 30,https://www.ace-hotel-bourges.com/,bourges@ace-hotel.com
ACE HÔTEL CAEN MÉMORIAL,Hôtel de tourisme,7 rue René Cassin -14280Saint-Contest,02 31 74 07 40,https://www.ace-hotel-caen.com/fr/,caen@ace-hotel.com
ACE HÔTEL CHARTRES,Hôtel de tourisme,RUE DE LA MALADRERIE -28630LE COUDRAY,02 37 90 33 66,www.ace-hotel-chartres.com,chartres@ace-hotel.com
ACE HÔTEL CHATEAUROUX DÉOLS,Hôtel de tourisme,ZAC DE L'ECOPARC DE GRANDEOLS -36130DÉOLS,02 54 07 85 85,https://www.ace-hotel.com/fr/ace-hotel-chateauroux,chateauroux@ace-hotel.com
ACE HÔTEL CLERMONT LA PARDIEU,Hôtel de tourisme,Rue de l'Eminée -63100CLERMONT-FERRAND,04 73 44 73 44,www.ace-hotel-clermont-pardieu.com,clermont@ace-hotel.com
ACE HÔTEL CREUTZWALD SAINT-AVOLD,Hôtel de tourisme,80 A rue de Longeville -57150CREUTZWALD,03 87 00 41 10,http://www.ace-hotel-creutzwald-saintavold.fr/,creutzwald@acehotel.com
ACE HÔTEL ISSOIRE,Hôtel de tourisme,RUE DU DOCTEUR BIENFAIT -63500ISSOIRE,04 73 55 75 57,https://www.ace-hotel-issoire.fr/,issoire@ace-hotel.com
ACE HÔTEL LE MANS NORD,Hôtel de tourisme,2 rue Louis Chappée -72650SAINT-SATURNIN,02 43 25 02 50,https://www.ace-hotel-lemans.com//,lemans@ace-hotel.com
ACE HÔTEL MONTLUCON,Hôtel de tourisme,RUE ANDRE CITROEN ZONE DE LA LOUE -03410SAINT-VICTOR,04 70 02 76 76,https://www.ace-hotel-montlucon.com,montlucon@ace-hotel.com
ACE HÔTEL NOYELLES GODAULT LILLE,Hôtel de tourisme,rue de Beaumont -62950NOYELLES-GODAULT,03 21 79 79 00,https://www.ace-hotel-noyelles.com,noyelles@ace-hotel.com
ACE HÔTEL PARIS MARNE LA VALLÉE,Hôtel de tourisme,3 Boulevard des Artisans -77700BAILLY-ROMAINVILLIERS,01 61 10 10 85,https://www.ace-hotel-bailly-romainvilliers.fr/,bailly@ace-hotel.com
ACE HÔTEL PARIS ROISSY,Hôtel de tourisme,6 rue Galilée -77290Mitry-Mory,01 60 94 80 20,https://www.ace-hotel-mitry.com/fr/,mitry@ace-hotel.com
ACE HÔTEL PARIS SUD VILLABE,Hôtel de tourisme,1 route de Villoison -91100Villabé,01 69 91 70 90,www.ace-hotel-villabe.com,villabe@ace-hotel.com
ACE HÔTEL POITIERS,Hôtel de tourisme,rue de la maison Coupée -86000POITIERS,05 49 00 48 48,https://www.ace-hotel.com/fr/ace-hotel-poitiers,poitiers@ace-hotel.com
ACE HÔTEL RIOM,Hôtel de tourisme,Rue Louis Amstrong -63200Riom,04 73 67 67 67,https://www.ace-hotel-riom.com/fr/,riom@ace-hotel.com
ACE HÔTEL ROANNE,Hôtel de tourisme,1 rue Edouard Branly -42300MABLY,04 77 69 26 92,https://www.ace-hotel-roanne.fr/,roanne@ace-hotel.com
ACE HÔTEL ROUEN PARC DES EXPOS,Hôtel de tourisme,75 avenue de la Mare Sansoure -76650Petit-Couronne,02 79 49 00 49,https://www.ace-hotel-rouen.com,rouen@ace-hotel.com
