,job_titles,company_names,loacations,job_type
0,Senior Python Developer,SURE International Technology -,"Cairo, Egypt",Full Time
1,Python Backend Developer,"Salney, Inc. -","Cairo, Egypt",Full Time
2,Senior Software Engineer - Python,Paymob Solutions -,"Maadi, Cairo, Egypt",Full Time
3,Python Back-End Developer (Part-Time),Snuggs Egypt -,"New Cairo, Cairo, Egypt",Work From Home
4,Python Developer,Andela -,"Cairo, Egypt",Part Time
5,Flask Python Backend Developer.,Virtual Worker Now -,"Cairo, Egypt",Freelance / Project
6,Senior Backend Developer (Python/Django),Valify -,"Maadi, Cairo, Egypt",Work From Home
7,Backend Developer (Python/Ruby),Nile University -,"Sheikh Zayed, Giza, Egypt",Full Time
8,Senior Python Linux Engineer,El-Sewedy Electrometer -,"6th of October, Giza, Egypt",Freelance / Project
9,Senior Python Developer,FlairsTech -,"Cairo, Egypt",Work From Home
10,Software Engineer - Backend Development (Python),Synapse Analytics -,"Cairo, Egypt",Full Time
11,Python Developer,FlairsTech -,"Cairo, Egypt",Work From Home
12,Software QA/Automation Engineer [Python],FlairsTech -,"Cairo, Egypt",Full Time
13,Python Developer,Anspire Agency -,"New Cairo, Cairo, Egypt",Full Time
14,Senior Quality Automation Engineer [Python],FlairsTech -,"Maadi, Cairo, Egypt",Full Time
15,Senior Backend (Python) Engineer - Customer Domain,Nana -,"Sheraton, Cairo, Egypt",Full Time
16,Python Developer - Focused on Cloud Automation,GIG Tech   -,"Cairo, Egypt",Work From Home
17,Senior Python Engineer,Brainology -,"Cairo, Egypt",Full Time
18,Data Analyst,INSITE OOH -,"Zamalek, Cairo, Egypt",Work From Home
19,Senior Odoo Developer,Ejadtech -,"Dokki, Giza, Egypt",Full Time
20,Web Application Intern,Ahram Security Group -,"10th of Ramadan City, Sharqia, Egypt",Full Time
21,Senior Software Engineer (BackEnd),GoTrah -,"Cairo, Egypt",Full Time
22,Senior Full Stack Developer,GoTrah -,"Cairo, Egypt",Internship
23,Linux Systems Admin / Engineer,Qeema -,"Masr Al Qadima, Cairo, Egypt",Full Time
